fold,method,NRMSE,PICP,NMPI
0,Conformal-MLPF(abs),0.0690863355994224,0.9529235727440148,0.3211629092693329
0,Conformal-MLPF(signed),0.0690863355994224,0.9210573012584408,0.2887362241744995
0,MLP-QR,0.0727032274007797,0.9567866597605892,0.2760131061077118
0,MLP-MCD,0.0705112218856811,0.5643488144567219,0.0746940150856971
1,Conformal-MLPF(abs),0.0822814553976059,0.7788658953104612,0.171408012509346
1,Conformal-MLPF(signed),0.0822814553976059,0.7894048852559674,0.1748121529817581
1,MLP-QR,0.0871023312211036,0.9539272967994474,0.2607041299343109
1,MLP-MCD,0.0829711705446243,0.5169093944278149,0.0747691690921783
2,Conformal-MLPF(abs),0.0838843807578086,0.8911546810117025,0.2756879329681396
2,Conformal-MLPF(signed),0.0838843807578086,0.8897366930917328,0.2780123651027679
2,MLP-QR,0.0874261632561683,0.9278572102680256,0.2492401897907257
2,MLP-MCD,0.0834801122546196,0.5149773499433749,0.0735814869403839
3,Conformal-MLPF(abs),0.0634746327996254,0.9441094882246376,0.2759833335876465
3,Conformal-MLPF(signed),0.0634746327996254,0.9430385718599034,0.2779965102672577
3,MLP-QR,0.065252661705017,0.9045634246678744,0.1871228516101837
3,MLP-MCD,0.063550591468811,0.5715084352355072,0.0663962438702583
4,Conformal-MLPF(abs),0.0631164461374282,0.9336080586080586,0.2512205839157104
4,Conformal-MLPF(signed),0.0631164461374282,0.9331549526862026,0.236728549003601
4,MLP-QR,0.0659438669681549,0.9282399458180708,0.1919494569301605
4,MLP-MCD,0.0630724132061004,0.5866815476190477,0.0698250830173492
5,Conformal-MLPF(abs),0.0795798897743225,0.7876596918885914,0.1519446969032287
5,Conformal-MLPF(signed),0.0795798897743225,0.8084167018928186,0.1548726856708526
5,MLP-QR,0.0847159475088119,0.9007826076746044,0.185611605644226
5,MLP-MCD,0.0800670012831687,0.520216875675168,0.0703628957271575
6,Conformal-MLPF(abs),0.104650467634201,0.868893290121234,0.2807264626026153
6,Conformal-MLPF(signed),0.104650467634201,0.8674078742047774,0.2782973945140838
6,MLP-QR,0.1158361136913299,0.8687057376065298,0.226579412817955
6,MLP-MCD,0.1047472581267356,0.5127010562957628,0.0851529017090797
